INSTNM,WEAPON,DRUG,LIQUOR,MURD,FORCIB,NONFOR,ROBBE,AGG_A,BURGLA,VEHIC,ARSON,BURGLA_RAC,SIM_A,SIM_A_RAC,SIM_A_SEX,LAR_T,LAR_T_RAC,INTIM,INTIM_RAC,INTIM_REL,INTIM_SEX,INTIM_GEN,INTIM_ETH,VANDAL,VANDAL_RAC,VANDAL_REL,VANDAL_SEX,VANDAL_GEN,VANDAL_ETH,RAPE,FONDL,STATR,confidence_score
University of Delaware,12.96775631,16.61617062,55.58561246,100,61.72935226,77.87799206,14.13420444,10.20351271,45.36023183,74.74180966,0.4916686,100,100,100,100,100,100,71.87369519,100,100,100,100,100,100,100,100,100,100,100,28.98189934,6.44196258,100,74.28143338
Shawnee State University,41.58085279,2.320095552,21.92140363,100,16.15518481,100,51.19097796,40.47308672,3.426776566,66.79802784,11.93558636,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.021629585,24.36848596,100,74.38100337
University of Illinois at Urbana-Champaign,63.64428478,9.298044908,30.41992549,115.0750909,24.0799151,100,2.040331904,46.7016211,43.5017428,59.70826468,1.35151206,100,100,100,100,100,100,100,100,100,100,100,100,94.42599322,100,73.79471403,100,100,100,0.838510137,49.16720029,100,75.43897348
Northern Illinois University,116.10875,104.6246598,18.09024798,100,26.28162744,100,27.45428999,120.9669036,31.42471399,67.10088227,68.70484573,100,36.43320724,53.4460694,100,100,100,70.69210103,100,100,42.13162143,100,100,18.33388412,145.9168534,100,13.2309596,100,100,4.395102313,52.03735349,100,75.54293977
William Paterson University of New Jersey,38.14978577,158.313443,67.16669757,100,32.47881809,100,67.24461685,39.39755066,24.10307196,74.53530928,77.48594525,100,100,100,100,100,100,43.28749261,42.61855943,100,100,100,100,8.406791162,18.96589194,115.3052844,100,100,100,9.955169315,27.61449321,100,76.40715376
University of Northern Colorado,58.2178291,60.10220795,64.20256648,100,10.70822542,100,55.69257754,21.75067618,68.80942532,64.38024498,41.86012018,100,100,100,100,100,100,75.59111112,38.61741035,100,100,100,100,60.57856442,100,100,44.53003728,100,100,38.67140078,44.8019713,100,76.51607401
George Mason University,55.203239,26.09614662,24.12778837,100,0.344950133,79.29792707,88.30388773,78.11997042,55.93925002,57.0365584,49.35307156,100,22.98193979,48.43516913,104.622493,100,100,100,100,100,100,100,100,65.65912016,100,61.44805915,100,100,100,75.712228,62.30293383,100,76.71827289
University of North Dakota,23.82791046,6.117600582,101.2003782,100,45.765788,100,92.92871644,10.96324369,21.19464738,54.30321638,70.11293252,100,100,100,100,100,100,35.72327787,61.64077269,100,100,100,100,100,100,100,100,100,100,26.57999562,5.189447591,100,76.73587273
Kent State University at Kent,69.48077023,21.61827847,24.11409173,100,51.58719327,100,73.83025611,68.13515361,70.29817816,86.30632882,209.9382471,100,100,100,100,100,100,75.6022192,100,100,3.653276741,100,100,40.89475669,48.82074717,7.375438413,63.88393398,100,105.0537169,2.094141718,35.1183115,100,76.8064075
Georgia Institute of Technology-Main Campus,38.03615471,54.8629457,57.42366147,100,2.145060162,100,57.53056022,10.60205741,3.781955084,142.9943187,89.32481174,100,41.67613611,40.78998291,100,100,100,100,100,100,100,100,100,89.14261826,100,100,100,100,100,27.2521318,3.735271893,100,76.85305207
University of Washington-Seattle Campus,77.76522576,40.01994713,36.04722894,100,47.34523641,100,24.53058367,13.11916181,40.45051133,58.75136458,16.20502655,100,69.47909173,100,100,100,100,22.6047105,82.30628448,29.79649798,100,358.9825099,124.7101871,88.63665299,70.48142041,100,100,100,100,16.8826894,26.59587162,15.99619173,76.89707481
The University of West Florida,63.38328676,33.92143928,65.16103783,100,42.66907899,100,83.31282512,45.97082212,43.68547929,29.05421317,19.7117686,100,9.66363694,164.7208285,100,100,100,100,100,100,100,100,100,22.48776642,112.1244077,100,49.69149979,100,100,1.971166739,74.14256119,100,76.92724433
University of Central Missouri,11.84286492,45.29358351,10.22925377,100,84.12593791,100,54.65199315,22.87913455,24.24126426,29.89172169,10.7420093,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,44.18100371,27.76097059,100,77.05749179
University of St Thomas,60.66569815,17.21870991,25.60516506,100,71.77314779,100,46.59650202,85.22153304,38.9588717,27.34533991,40.7051901,100,100,100,100,100,100,100,100,100,100,100,100,59.79547023,4.439353186,100,100,100,100,30.40939721,59.2611266,100,77.12485953
Vincennes University,46.54911062,23.64153379,62.00988801,100,39.90530412,100,9.626628675,66.43923894,40.81817196,90.0845468,85.9735469,100,53.26698157,84.98822161,100,100,100,64.66761169,100,100,100,100,100,71.46831475,25.88320842,100,100,100,100,56.98646794,45.79208238,100,77.12815182
